产品名称,产品简介,产品分类,品牌,产品图片,产品介绍
MatriBOX系列 MX1000/2000  边缘智能可编程控制器,面向中小规模自动化场景的、结构紧凑、具有高度灵活性、高度集成化、高性价比的边缘智能控制系统。,PLC 小型PLC,矩控新辰,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202404/17/b4c72d348a90400f9dda5e350ec79b2a_w.png,面向中小规模自动化场景的、结构紧凑、具有高度灵活性、高度集成化、高性价比的边缘智能控制系统。 MX1000/2000系列采用创新的设计理念，为客户提供更高的价值。采用简单易学、符合IEC61131-3标准的MatriX Logic进行编程，本机最多可集成96点IO，有丰富的IO类型可供选择，如数字量、模拟量、高速计数等IO。可集成EtherCAT主站功能，最多可扩展32个EtherCAT从站，最多可支持32个伺服/步进 电机 轴，支持基本的运动控制功能。另外可集成MQTT通讯等边缘计算功能，作为打通IT与OT的轻量型节点。
【优品推荐】SM1800软热插拔高性能模块,如果您希望IO模块的响应更快且支持的容量更大，华茂欧特SM1800系列软热插拔高性能模块可能是一个很好的选择。,PLC 其它,华茂欧特,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202403/27/5cd60cb94796445dbe0e5826e43e4c39_w_20240327165639.jpg,如果您希望IO模块的响应更快且支持的容量更大，华茂欧特SM1800系列软热插拔高性能模块可能是一个很好的选择。 关于响应速度 SM1800高性能模块采用主流的标准EtherCAT总线协议，每个模块都作为一个独立的站点，以实现更快的数据传输速率和更低的延迟。这意味着模块能够更快速地响应输入和输出信号，最快可达100us，从而提高了整个系统的响应速度和实时性能。 关于IO容量 SM1800高性能模块具有易扩展的接口，通过100M背板总线连接，以适应不同规模的系统需求。这些模块支持大量的输入和输出通道，可以同时处理多个信号，从而提高了系统的容量和处理能力。 两种扩展方式，任意组合： 关于热插拔 模块支持软热插拔功能，使得在不影响系统运行的情况下，可以轻松地更换或增减模块，以适应系统容量的变化。 关于模块设计 采用模块化设计，方便客户进行配置和扩展。客户可以根据实际需求选择合适的模块组合，选配出符合自己需求的系统。 关于模块类型 SM1800系列模块除了常用的普通DI、DO、AI、AO之外，还包含几款功能型模块： ① 串口通信模块 ② 高速计数模块 ③ 脉冲输出模块 ④ 数字量快速输出模块 华茂欧特提供丰富的产品手册和技术支持，可以帮助您更好地了解各种IO模块的特点和适用场景，从而做出更明智的选型决策。建议您联系其技术支持团队，服务热线为400-900-8687转1，以获取更详细的信息和选型建议。
零点C系列分布式IO,今天给大家带来的，就是我们零点今年的C系列新品简介以及C系列全系列产品介绍。,PLC,ODOT零点,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202404/01/eca778f0610149b7aeac6e385a832637_w.png,经过两年的行业深耕，零点近年来的研发也是硕果累累，C系列产品更是迎来了井喷式的更新。零点目前所支持的工业协议包括：Profinet、Modbus- RTU 、EtherCAT、Profibus-DP、EtherNet/IP、CC-Link、CANopen、DeviceNet、Modbus TCP、CC Link lE Field Basic等协议。 那么今天给大家带来的，就是我们零点今年的C系列新品简介以及C系列全系列产品介绍。 新品盘点 网络适配器新品 CN-8022 支持标准DeviceNet协议。适配器支持最大输入 512 字节， 最大输出 512 字节， 支持的扩展 IO 模块 32 个。 CN-8037 支持标准 CC-Link IE FIELD BASIC协议。适配器传输速率最高可达100Mb/s，传输距离100m(站点间距离)，支持扩展 IO 模块32个。 IO新品 C系列全系列介绍 零点C系列简介 以上就是零点C系列的产品全系列介绍啦，有了这份秘密武器，相信大家都能在零点准确挑选到自己心仪的产品。 那么今天的产品介绍就到这里，我们下期再见。
中达优控PLC LKQ1-60MR-0H-E-AC,中达优控PLC LKQ1-60MR-0H-E-AC,PLC PLC 中型PLC CPU模块,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202403/20/f584fc4a6b6f458799aa3a2175d07e65_w.png,
微秒VMMORE-PLC扩展模块PCM-4TC-PID,PCM-4TC-PID四通道热电偶温度控制模块支持微秒驱控一体伺服驱动器及小型PLC,PLC 小型PLC 通讯模块,微秒,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202312/13/59e6225a97ef4d0d92eb2f8e79085ef6_w.jpg,【本链接内容均来源于品牌厂商】 微秒 VMMORE- PLC 扩展模块PCM-4TC-PID 产品概述： PCM-4TC-PID四通道热电偶温度控制模块 支持微秒驱控一体伺服驱动器及小型PLC 产品特点： PCM系列温度控制模块具备业内zui高的16位测温精度，用户只需输入目标值， 模块可以自动进行PID温度控制，并可以对PID参数进行自整定以改善温控效果。 通过Epro/Eset软件，用户可以表格设定、监控温度控制模块的所有参数而无需编程。 通过Epro/Eset提供的曲线监控功能，用户可以对温度的曲线变化，输出的时序变化实现清晰的记录与显示。 示波器功能还内置了辅助调试工具条，用户在监控曲线的同时可以直接监控温控参数。 产品参数： 模拟电路： 24Vdc (-15%~+20%)，最大允许纹波电压 5% ≤81mA (来自主模块的外部电源或外接电源) 数字电路： ≤47mA(消耗主模块内部+24V容量) 热电偶类型： K、J、E、N、T、R、S、B AD位数： 16bit 采样周期： (100士2%)msx通道数 (不使用的通道不进行转换，也不占用时间) 控制周期： 1~100 秒，默认值为 10 秒 控制方法： PID 控制 额定温度范围： K： -100.0~1200.0℃(-148.0~2192.0℉) J： -100.0~600.0℃(-148.0~1112.0℉) E： -100.0~850.0℃(-148.0~1562.0℉) N： -100.0~1200.0℃(-148.0~2192.0℉) T： -200.0~350.0℃(-328.0~662.0℉) R： 0.0~1600.0℃(32.0~2912.0℉) S： 0.0~1600.0℃(32.0~2912.0℉) B： 0.0~1700.0C(32.0~3092.0℉) 最低分辨率： K： 0.1℃(0.18℉) J： 0.1℃(0.18℉) E： 0.1℃(0.18℉) N： 0.1℃(0.18℉) T： 0.1℃(0.18℉) R： 0.1℃(0.18℉) S： 0.1℃(0.18℉) B： 0.1℃(0.18℉) 精度： ±0.5%输入范围±1位 隔离： 模拟电路与数字电路之间用光耦进行隔离 外部电源与模拟电路通过 DC/DC 进行隔离 各通道间不隔离 产品尺寸： 73×90×71 相关产品： I/O模块： PCM-16EX 16点输入模块 PCM-16EYT 16点晶体管输出模块 PCM-16EYR 16点继电器输出模块 PCM-16ET 16点晶体管输入输出模块 PCM-16ER 16点继电器输入输出模块 PCM-48EX 48点输入模块 PCM-48EYT 48点晶体管输出模块 PCM-40EYR 40点继电器输出模块 PCM-64ET 64点晶体管输入输出模块 PCM-64ER 64点继电器输入输出模块 模拟量模块： PCM-4AD 四通道模拟量输入模块 PCM-8AD 八通道模拟量输入模块 PCM-2DA 二通道模拟量输出模块 PCM-4DA 四通道模拟量输出模块 PCM-3A 二通道模拟量输入一通道模拟量输出模块 PCM-6A 四通道模拟量输入二通道模拟量输出模块 PCM-4ADH 四通道高速高精度模拟量输入模块 温控模块： PCM-8TC-PID 八通道热电偶温度控制模块 PCM-4PT-PID 四通道热电阻温度控制模块 PCM-8PT-PID 八通道热电阻温度控制模块 PCM-9PT-PID 九通道热电阻温度控制模块 PCM-4LC 四通道温度控制模块 PCM-8LC 八通道温度控制模块 运动控制 模块： PCM-20PG 二通道脉冲输出模块 PCM-20HC 二通道高速计数模块 称重模块： PCM-4WT 四通道称重模块
和利时LX“莱克斯”系列可编程逻辑控制器,LX“莱克斯”是和利时自主研发推出的一款超薄化、高性能、高速度的全场景高端控制器，具有至小、至快、至强、至融、至易、至安的特点，适用于半导体、锂电、新能源、物流、汽车、港口等高端装备行业。,PLC,和利时,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202312/07/204d6a0369d9415a895b44fd5b7f3b96_w.png,"LX“莱克斯”是和利时PLC研发团队20年磨一“剑” ，于2023年自主研发推出的一款超薄化、高性能、高速度的全场景高端控制器，具有至小、至快、至强、至融、至易、至安的特点，适用于半导体、锂电、新能源、物流、汽车、港口等高端装备行业。 产品特点 至小： 片式I/O，宽度仅有12mm，节省机柜空间和成本，空间不再成为障碍； 至融： 丰富的通讯协议，LX系统EtherCAT一网到底，I/O兼容第三方控制器，适配第三方厂家EtherCAT主站、PROFINET主站， 至强： 64轴伺服或者变频器，300从站，支持PLCopen标准的 运动控制 ，运动控制能力强大，满足用户多种需求 至快 ： 位操作指令3ns，总线扫描128dio/μS，任务周期最小500μs； 至安： 稳定可靠，安全可控，十余年研发投入，软件升级迭代稳定可靠，完全独立研发，自主知识产权，解决软件“卡脖子”问题，通过TüV安全认证，支持安全PLC组态。 至易： 简单易用，符合IEC61131-3标准, 支持PLCopen标准的运动控制功，支持C/C++ LX网络架构图 适用领域 主要应用在半导体、锂电、光伏、风电、储能、物流、汽车、港口、重型机械等高端装备制造领域。 产品图片"
汇辰E7 SMART CPU介绍,汇辰“云鸽”E7-200SMART 系列PLC，专为工业物联网所研发的PLC系列,PLC,,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202312/05/a72bc799a1924fa5a171672fe1d152dc_w.png,产品介绍： 汇辰“云鸽”E7-200SMART 系列PLC，专为工业物联网所研发的PLC系列，CPU自身集成两个RS485口，支持PPL电缆程序上下载、支持PPL/Modbus/自由口通信协议；集成以太网口，支持普通网线程序上下载，支持连接HMI、组态软件、支持S7以太网通信、支持ModbusTCP通信；支持LAD(梯形图)、STL(语句表)、FBD(功能块图)编程语言；自身支持6个I/0扩展模块，支持DB-Link物联网DB板的扩展。多用于换热供暖、暖通、纺织、水处理、新能源、新风等行业。 同时E7系列CPU可集成DB-Link物联卡，搭配汇辰Hcloud云平台，无需编程，无需设置，就可轻松上云。 特色功能： CPU支持 “STEP 7-MicroWIN SMART”软件中的向导设置功能，配置方式与S7-SMART一致，方便用户自由切换； 向导设置支持以下功能： • HSC（高速计数） • 运动控制 • PID • PWM（脉宽调制） • GET/PUT 基础参数：
海为A8智联PLC,多合1=PLC+HMI+RTU+物联网关,PLC,海为,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202311/24/fc10f0ddd6be4fb3a7a316f9e92ce09a_w.png,
牢固耐用，高度集成，福氏技术推出全新CT35系列控制器,CT35 为福氏技术最新推出的中小型系列的控制器产品，它继承了福氏技术中大型控制器产品的先进技术，进一步提升了性能和集成度，减小了产品体积，为客户提供了更具性价比的解决方案。,PLC,,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202311/21/d7d6712bd3874b42b0056e581e1adfe7_w.png,产品介绍： CT35 为福氏技术最新推出的中小型系列的控制器产品，它继承了福氏技术中大型控制器产品的先进技术，进一步提升了性能和集成度，减小了产品体积，为客户提供了更具性价比的解决方案。 产品特点： 01 性能强劲 控制器的核心处理器为主频可达1.2 GHz，集成1 GB 的DDR3，最高可支持16 GB 的存储空间，内置32 MB 容量的QSPI Flash数据存储芯片，足以应对大部分的中小型应用场合。 02 体积小巧 CT35 采用全金属外壳，体积小于市场中大部产品，CPU 本体集成了多种通讯总线和输入输出端口，为小规模的自动化应用提供了高性价比的解决方案。 03 集成度高 CT35 采用更紧凑的设计，CPU 本体采用4网口设计，集成2 路CAN 和2 路RS-485，并集成16 路DI、16 路DO、16 路AI、4路PT100 等，进一步提升了产品的性价比。 04 易于使用 CT35 采用使用可插拔的端子设计，便于现场接线。另外全金属外壳设计，安装更牢固，抗振性好。 05 环境适应性强 CT35 采用加强涂层，工作环境温度可达到-20~55 ℃，可满足严苛运行环境要求。 CT35 除满足传统的逻辑控制功能之外，还集成了运动控制功能，可满足16 轴以下的运动控制需求，因此其可广泛应用于煤矿、物流、包装和风电等行业。 关于福氏技术： 福氏新能源技术（上海）有限公司（简称“福氏技术”）以技术创新为驱动，专注工业自动化领域。公司总部位于上海张江科学城，并在上海、天津、西安设有研发与工程中心。 福氏技术长期伴随中国新能源产业建设，深耕风电自动控制领域，为数以万计的风机提供控制、驱动系统解决方案，应用覆盖了50kW-8MW的陆上、海上风机，成长为行业领导品牌。同时福氏以控制及驱动技术为核心，提供基于逻辑控制、运动控制、 机器视觉 、人工智能、数字化工具、行业知识库的通用自动化解决方案。
微秒VMMORE扩展模块PCM-4AD,能够满足称重计量、张力控制、压力检测等行业对于高精度、高速模拟量的应用需求。,PLC 其它,,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202310/23/4436d5fdc7f44ab89df0b6535b6d9a1e_w.jpg,【本链接内容均来源于品牌厂商】 微秒VMMORE扩展模块PCM-4AD 产品概述： PCM-4ADH高精度模拟量输入模块具备4个通道16位精度模拟量输入，每个通道刷新时间仅为360μS。 能够满足称重计量、张力控制、压力检测等行业对于高精度、高速模拟量的应用需求。 产品规格： AD通道数：4 信号类：电压：-10V~+10V，输入电阻 200kΩ 电流：-20mA-+20mA，输入电阻 250Ω AD位数：16bit 采样周期：500土2%μs×通道数 最低分辨率：电压：5mV 电流：20μA 精度：±1%输入范国±1位 隔离：模拟电路和数字电路之间用光耦进行隔离。主单元的电源和外部电源用 DC/DC进行隔离 模拟电路电源消耗：24Vdc(-15%~+20%)，最大允许纹波电压5%≤72mA(来自主模块的外部电源或外接电源) 数字电路电源消耗：≤45mA(仅在连接扩展电统时，消耗主模块内部+24V空量) 相关型号： I/O模块： PCM-16EX 16点输入模块 PCM-16EYT 16点晶体管输出模块 PCM-16EYR 16点继电器输出模块 PCM-16ET 16点晶体管输入输出模块 PCM-16ER 16点继电器输入输出模块 PCM-48EX 48点输入模块 PCM-48EYT 48点晶体管输出模块 PCM-40EYR 40点继电器输出模块 PCM-64ET 64点晶体管输入输出模块 PCM-64ER 64点继电器输入输出模块 模拟量模块： PCM-4AD 四通道模拟量输入模块 PCM-8AD 八通道模拟量输入模块 PCM-2DA 二通道模拟量输出模块 PCM-4DA 四通道模拟量输出模块 PCM-3A 二通道模拟量输入一通道模拟量输出模块 PCM-6A 四通道模拟量输入二通道模拟量输出模块 PCM-4ADH 四通道高速高精度模拟量输入模块 温控模块： PCM-4TC-PID 四通道热电偶温度控制模块 PCM-8TC-PID 八通道热电偶温度控制模块 PCM-4PT-PID 四通道热电阻温度控制模块 PCM-8PT-PID 八通道热电阻温度控制模块 PCM-9PT-PID 九通道热电阻温度控制模块 PCM-4LC 四通道温度控制模块 PCM-8LC 八通道温度控制模块 运动控制 模块： PCM-20PG 二通道脉冲输出模块 PCM-20HC 二通道高速计数模块 称重模块 PCM-4WT 四通道称重模块
微秒VMMORE可编程控制器PC1M-14MT/ES,PC1M是可扩展的微型PLC产品，具有业界同类产品中较高的性能价格比，适用于  各行各业自动化检测、控制应用。PC1M主模块集成了2个串口，,PLC 其它,微秒,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202308/25/430e4a129cdf451fb3e93ae35974816d_w.jpg,【本链接内容均来源于品牌厂商】 微秒 VMMORE可编程控制器PC1M-14MT/ES 产品概述: PC1M是可扩展的微型 PLC 产品，具有业界同类产品中较高的性能价格比，适用于 各行各业自动化检测、控制应用。PC1M主模块集成了2个串口， 输入、输出最多可扩展128个IO点，最多扩展4个扩展模块。 内置8K程序。具有完善的用户程序安全保护机制。 ·优异的基本性能: 基本指令时间：0.36μs 应用指令：3μs~数百μs 1K标准程序扫描时间（基本指令70%;应用指令30%）：2.2ms 程序空间：8K程序空间（无需扩展） 业内领先的扩展总线:扩展总线最长可达10m， 总线传输速率高:50条FROM/TO 扫描时间:14ms ·系统框图 ·数据掉电保持—终身免维护 ·可靠的两级密码保护机制 ·完善的通讯组网功能 ·优秀的定位能力 系列产品: PC1M-14MT/ES PC1M-14M□  重量：0.55kg PC1M-24M□  重量：0.60kg PC1M-30M□  重量：0.65kg PC1M-40M□  重量：0.85kg PC1M-60M□  重量：1.00kg
中达优控数码管文本PLC一体机MM-20MR-4MTS-450LED-FX-A,中达优控数码管文本PLC一体机MM-20MR-4MTS-450LED-FX-A,PLC 人机界面 图控一体化产品,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202303/21/26bb467b1c9d42ca94ea979338cddcb1_w.png,
Galil RIO-47x00可编程I/O控制器,RIO-471x0为小型智能以太网可编程I/O控制器，简单易用且价格低廉。RIO以太网可编程I/O控制器通过一个高速RISC处理器处理I/O逻辑。RIO以太网可编程I/O控制器可以使用Galil的编程语言或Galil梯形图软件进行编程。每个RIO控制器自动多路模拟量和数字量I/O：8路模拟量输入，8路模拟量输出，16路光电隔离输入，8路大功率隔离输出和8路小功率隔离输出。,PLC PLC 小型PLC,GALIL,http://fs.gongkong.com/files/product/200908/2009083110564200011.jpg,产品链接 名称： RIO-47x00可编程逻辑控制器 编号： RIO-47200/ RIO-47100 品牌： Galil RIO-47x00为美国GALIL公司设计，一款轻巧智能型可编程逻辑以太网控制器，配置高速RISC处理器控制I/O，使用GALIL编程语言或梯形图软件编程。 说 明 ●  系统处理器 32位RISC处理器 40微秒的单指令执行时间 ● 通讯接口 10/100 Base-T Ethernet Port RS232串口19.2/115K baud ● 内存 用户程序存储容量为200行×40字 可定义达126个变量 400个数组元素 ● I/O 数字量输出点0-15 光电隔离500mA 12-24VDC[需外接直流电源] 数字量输入点0-15 光电隔离2.2K串联电阻5-24VDC输入电压 ● 模拟量输入 0-5V；100K输入阻抗；12-bit ADC（16bit可选） ● 电源 PoE（Power over Ethernet）或18-36VDC电源 功率消耗：2.5W（额定）/4W（最大） ● 机械尺寸 182.5mm×89.4mm×53.5 ● 环境 工作环境温度0-70℃ 产品特色 ● 10/100 Base-T以太网口及 RS232通讯口115/19.2 kbaud ● 8路模拟量输入 ● 16路光电隔离输入 ● 16路大功率隔离输出，每路额定输出500mA ● 多任务可同时执行最多4个应用程序 ● 高速RISC处理器及内存，储存程序 ● 2字母的Galil编程语言，简单易用 ● 可以与Galil DMC-40x0 运动控制 器连接 ● 可使用Galil的梯形图软件编程 ● 可由网页读取I/O状态 ● E-mail发送信息功能 ● 外接18—36V的直流电源或直接通过网线供电（PoE） ● 小尺寸，98×108×33（mm） ● 金属外壳 ● 可选购ICS螺丝端子型转接板 ● ModBus/TCP主设备或从设备 资料下载 Galil 产品样本 ( 中文 ) 下载 RIO-47xxx 样本 下载 RIO-47xxx 命令手册 下载 RIO-47xxx 手册 下载
微秒VMMORE可编程控制器PC2MU-48MT/ES,"单相50KHz4路/10KH在2路/双相20KH在1路/10KHz1路
脉冲输出：3路独立100KHz

高速计数：6路",PLC,微秒,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202212/23/2346b100d41849fc99d4d027c5691ac4_w.JPG,【本链接内容均来源于品牌厂商】 微秒VMMORE可编程控制器PC2MU-48MT/ES 产品概述： PCM系列小型 PLC 脉冲输出：3路独立100KHz 高速计数：6路 ◢ 单相50KHz4路/10KH在2路/双相20KH在1路/10KHz1路 扩展总线：扩展PCM系列扩展模块 RS485： ◢ MODBUS主/从站协议 ◢ 自由口协议 ◢ 编程口协议 RS422： ◢ 编程口协议(PC后台软件/HMI通讯) ◢ MODBUS从站协议 CAN：最高32台PLC互联，最高波特率1Mbps
虹润NHR-PR20简易PLC控制器,简易PLC控制器是一款具有较高逻辑性和专业性的PLC系列产品，采用梯形图编程，通用性强；产品具有多个独立的计时器、计数器、比较器，支持逻辑调用、比较运算、掉电存储等；可扩展IO容量,PLC,虹润,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202212/20/17809d1c1f3742298a3d42caf763c47f_w.jpg,虹润NHR-PR20简易 PLC 控制器   是一款具有较高逻辑性和专业性的PLC系列产品，采用梯形图编程，通用性强；产品具有多个独立的计时器、计数器、比较器，支持逻辑调用、比较运算、掉电存储等；可扩展IO容量，程序改写方便，提升逻辑控制系统的灵活性。可配备RS485通讯接口，可实现远程监控。 •传统的梯形图编程方式，具有较强的逻辑性及专业性。 •支持DIN35mm导轨式安装或壁挂安装，设计紧凑，大大节约组装成套的空间，便于老旧现场改造升级。 •全隔离设计，高性能的EMC抗干扰能力，大大的提升了系统的稳定性，应用范围广。 •2.8英寸LCD+8个按键，本机编程操作，抛开复杂的编程软件及编程设备。 •供电、输入与输出均可选AC220V/DC24V，便于产品嵌入不同的电气控制回路中使用。 •具有掉电存储功能，内置的保持位、保持计数器、保持计时器等，对特殊的应用场合具有较高的适应性。 •主设备支持IO副机扩展功能，提升系统的控制容量，具有小设备大智慧的特点。 •内置计时器具有通延时、断延时、闪烁、双计时等功能，对时间控制、延时逻辑等应用场合提供便捷性，大大降低了系统的设计使用、维护等难度。 •配备RS485（MODBUS RTU协议）通讯接口，可实现远程监控。 产品广泛应用于老旧现场改造升级、设备的自动控制、小型流水线控制、电气逻辑控制等。
虹润NHR-PR10简易PLC中文一体机    可编程控制器,虹润NHR-PR10简易PLC中文一体机是一款基于中文编程的控制器 ，“傻瓜式”操作 ，通俗易懂。内置18组不同的模式程序组，支持判断、输出、延时、计数、计时、跳转、循环操作；对延时控制,PLC,虹润,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202212/20/f05408fcdb4f440f8903e8ac10222c1a_w.jpg,虹润 简易 PLC 中文一体机是一款基于中文编程的控制器 ， “ 傻瓜式 ” 操作 ，通俗易懂。内置 18 组不同的模式程序组，支持判断、输出、延时、计数、计时、跳转、循环操作；对延时控制、日历定时控制、逻辑控制等系统提供了解决方案。可配备 RS485 通讯接口，实现远程监控。 •采用全中文编程，“傻瓜式”操作 ，门槛低，通俗易掌握，可以有效减少信息技术对英文的依赖。 •支持 DIN35mm 导轨式安装或壁挂安装，设计紧凑，大大节 约组装 成套的空间，便于老旧现场改造升级。 •全隔离设计，高性能的 EMC 抗干扰能力，大大的提升了系统的稳定性，应用范围广。 • 2.8 英寸 LCD+8 个按键，本地编程操作，抛开复杂的编程软件及编程设备。 •供电、输入与输出均可选 AC220V/DC24V ，便于产品嵌入不同的电气控制回路中使用。 • IO 输入多样化，支持干接点、 PNP 、 NPN 等方式，便于各种现场信号的接入。 •具有掉电存储功能，支持上电继续、运行、停止等记忆模式，针对特殊场合有较高的适应性。 •全中文指令，内置判断、循环、跳转、计数、计时、输出等常用操作，提升中国人用自己语言编程的效率。 •配备 RS485 （ MODBUS RTU 协议）通讯接口，可实现远程监控。 产品广泛应用于设备的自动控制、小型流水线控制、电气逻辑控制等。
中达优控文本PLC一体机HF-18MR-6MT-6K-LED-FX-A(220V),文本PLC一体机HF-18MR-6MT-6K-LED-FX-A(220V),PLC,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202211/17/9451a28979704b67a3d87fbfef55fdda_w.png,
中达优控文本PLC一体机HF-20MR-6MT-6K-LED-FX-A(24V),文本PLC一体机HF-20MR-6MT-6K-LED-FX-A(24V) 售价200,PLC,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202211/17/ffa85453ac9640e4831bfd7d9c787a14_w.png,
中达优控文本PLC一体机HF-30MR-6MT-6K-LED-FX-A(24V),文本PLC一体机HF-30MR-6MT-6K-LED-FX-A(24V) 售价235,PLC,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202211/17/1cafe71d170c4afdb76ef650deaa16a9_w.png,
中达优控文本PLC一体机HF-30MR-6MT-6K-LED-FX-A(220V),文本PLC一体机HF-30MR-6MT-6K-LED-FX-A(220V) 售245,PLC,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202211/17/49b786d0e79747bf9d696e4a42b2dd28_w.png,
中达优控文本PLC一体机MD204-17MR-4MT-6LED-FX-A,文本PLC一体机MD204-17MR-4MT-6LED-FX-A 售价200,PLC,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202211/17/8bafa849e387485bb80beff82f3bd02b_w.png,
中达优控文本PLC一体机MD204-17MR-4MT-6LED-FX-B,文本PLC一体机MD204-17MR-4MT-6LED-FX-B 售价210,PLC,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202211/17/07bf4723d89b4ee88ec70201b4e2063d_w.png,
中达优控文本PLC一体机MM-12MR-4MTS-280LED-FX-A,中达优控文本PLC一体机MM-12MR-4MTS-280LED-FX-A  售价99,PLC,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202211/17/a35b66e3f02a44a28928513526125ebb_w.png,
微秒VMMORE小型可编程控制器PC2MU-64MT/ES,"CPU速度: 1K步标准测试程序(70%基本指令, 30%应用指令)

扫描周期PC2M/2MU 1.6ms , PC1M 2.2ms",PLC 小型PLC CPU模块,微秒,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202211/09/37e09188eae84b5380fd9ed81561a343_w.jpg,"【本链接内容均来源于品牌厂商】 微秒 VMMORE 小型可编程控制器 PC2MU-64MT/ES 产品概述： PC1M/2M/2MU-体化小型可编程控制器,运算速度快,功能丰富,集成6路高速计数器, 3路独立100KHZ脉冲输出, PC2M/2MU系列集成1通道RS422 , 1通道RS485 , 1通道CAN , PC1M系列集成1通道RS422 , 1通道RS485,可以扩展所有PCM系列扩展模块,应用方案灵活、丰富。 CPU速度: 1K步标准测试程序(70%基本指令, 30%应用指令) 扫描周期PC2M/2MU 1.6ms , PC1M 2.2ms 程序空间: PC2M/2MU 16K步 PC1M  8K步 软元件空间: 2MU 16K ( 其中D元件8K, R元件8K ) 2M8K(D元件8K) 1M8K(D元件8K) 扩展总线: 总线速度快, 50条FROM/TO指令仅需1 3ms。 RS422:支持编程口协议, MODBUS从站协议,通讯波特率高达115Kbps. RS485:支持自由口协议, MODBUS主从协议,编程口协议,通讯波特率高达115Kbps. CAN:支持VMMORE CANBUS协议,通讯波特率高达1Mbps ,允许32台 PLC 互连。 相关型号： PC2MU-16MT PC2MU-32MT PC2MU-48MT"
平升电子 智能遥测终端机RTU（DATA-7415）,平升电子智能遥测终端机RTU（DATA-7415）是一款搭载Linux嵌入式操作系统，具备数据采集、逻辑控制、运算分析、4G/以太网远程通信、人机交互、视频数据叠加等功能的水文水资源智能遥测终端机。,PLC,,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202211/08/0af6e901489a4ec19cff1f3b78f30f20_w.jpg,产品介绍 了解更多详情，请联系0315-7353609，或关注平升电子官网： https://www.data86.net/ 平升电子 智能遥测终端机 RTU （DATA-7415）/水利遥测终端机 /水文水资源遥测终端机是一款搭载Linux嵌入式操作系统，具备数据采集、逻辑控制、运算分析、4G/以太网远程通信、人机交互、视频数据叠加等功能的水文水资源智能遥测终端机。整机配备7寸彩色触摸屏，8G大容量存储。 功能 特点 ▌ 对下采集/控制多种仪表、传感器、设备，对上通信支持多种标准协议 ▌ 现场手触设参调试，无需电脑或手机 ▌ 根据项目需要，出厂配置本地操控软件 ▌ 标配8G大容量存储空间 • 可存储10-20年历史数据/2-3年照片（15分钟拍摄一次） • 支持容量扩展：外接固态硬盘或插入 SD卡 ▌ 视频/照片可叠加实时数据及测点信息 ▌ 触摸屏按需开启，降低整机功耗 ▌ 本地数据/照片可通过USB口直接导出至U盘/固态硬盘 技术参数
中达优控 最新上市小型经济型PLC控制器YK1S-30M,中达优控 最新上市小型经济型PLC控制器YK1S-30M,PLC,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202210/14/3f1d5232862d434aa420afbe8b866631_w.png,
中达优控 最新上市小型经济型PLC控制器YK1S-16M,自主研发 产品稳定可靠，性能强大，功能丰富，高性价比。4轴,PLC,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202210/14/d8a921c3f67e40529da7c4dcf99be6f7_w.png,自主研发 产品稳定可靠，性能强大，功能丰富，高性价比。4轴
中达优控 PLC 控制器 YK1S-12M 新一代小型PLC,中达优控 PLC 控制器 YK1S-12M 新一代小型PLC中达优控 PLC 控制器 YK1S-12M 新一代小型PLC,PLC,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202210/14/08abecac62a44950850cbd5ff72e4f9f_w.png,
中达优控  PLC YK1S-22M PLC可编程控制器,自主研发 产品稳定可靠，性能强大，功能丰富，高性价比。4轴,PLC,中达优控,http://upload.gongkong.com/Upload/gongkong/productInfoImage/202210/14/2a7bcb5f7fcf4cff8c4b40d348e07219_w.png,自主研发 产品稳定可靠，性能强大，功能丰富，高性价比。4轴
